id,customer_name,email,age,gender,country,sign_up_date,first_purchase,hours_to_first_purchase
38911,Henry Vaughn,henryvaughn@example.com,64,M,United States,2022-10-21,2022-10-22,24
61142,Steven Fleming,stevenfleming@example.net,42,M,United States,2022-10-21,2022-10-22,24
5558,Kenneth Morgan,kennethmorgan@example.com,56,M,United States,2022-10-21,2022-10-22,24
3903,Craig Murphy,craigmurphy@example.net,27,M,United States,2022-10-21,2022-10-22,24
40056,Angela Kelley,angelakelley@example.net,65,F,United States,2022-10-21,2022-10-22,24
60563,Susan Rice,susanrice@example.org,12,F,United States,2022-10-21,2022-10-22,24
16850,Scott Garrett,scottgarrett@example.net,24,M,United States,2022-10-21,2022-10-22,24
5559,Joseph Webb,josephwebb@example.net,14,M,United States,2022-10-21,2022-10-22,24
17366,David Moore,davidmoore@example.net,49,M,United States,2022-10-21,2022-10-22,24
50744,Bryan Underwood,bryanunderwood@example.net,50,M,Japan,2022-10-21,2022-10-22,24
59675,Sarah Johnson,sarahjohnson@example.org,68,F,Japan,2022-10-21,2022-10-22,24
34515,Erica Cunningham,ericacunningham@example.org,37,F,China,2022-10-21,2022-10-22,24
54605,Melissa Smith,melissasmith@example.net,22,F,China,2022-10-21,2022-10-22,24
13917,Robert Reyes,robertreyes@example.net,48,M,Brasil,2022-10-21,2022-10-22,24
34570,Colleen Tucker,colleentucker@example.com,41,F,Brasil,2022-10-21,2022-10-22,24
89900,Nathan Vargas,nathanvargas@example.com,18,M,Brasil,2022-10-21,2022-10-22,24
32719,Andre Morgan,andremorgan@example.com,21,M,Brasil,2022-10-21,2022-10-22,24
84582,Brandon Gordon,brandongordon@example.com,52,M,Brasil,2022-10-21,2022-10-22,24
71824,Robert Hall,roberthall@example.net,26,M,Brasil,2022-10-21,2022-10-22,24
72078,Richard Cline,richardcline@example.net,65,M,Brasil,2022-10-21,2022-10-22,24
30504,Steven Nash,stevennash@example.net,44,M,Brasil,2022-10-21,2022-10-22,24
99655,Bryan Sims,bryansims@example.com,47,M,South Korea,2022-10-21,2022-10-22,24
22241,Roger Payne,rogerpayne@example.org,41,M,South Korea,2022-10-21,2022-10-22,24
1592,Daniel Acosta,danielacosta@example.com,70,M,South Korea,2022-10-21,2022-10-22,24
37580,Steven Mccall,stevenmccall@example.org,62,M,South Korea,2022-10-21,2022-10-22,24
50106,Kristin Lewis,kristinlewis@example.org,44,F,Japan,2022-10-21,2022-10-22,24
918,James Crane,jamescrane@example.com,43,M,China,2022-10-21,2022-10-22,24
62586,Amanda White,amandawhite@example.net,13,F,China,2022-10-21,2022-10-22,24
4283,Veronica Nielsen,veronicanielsen@example.net,47,F,China,2022-10-21,2022-10-22,24
33768,Jeffrey Miller,jeffreymiller@example.org,51,M,China,2022-10-21,2022-10-22,24
23839,Kyle Arellano,kylearellano@example.com,40,M,China,2022-10-21,2022-10-22,24
67946,Bradley Foster,bradleyfoster@example.net,64,M,China,2022-10-21,2022-10-22,24
26993,Gregory Shelton,gregoryshelton@example.org,67,M,China,2022-10-21,2022-10-22,24
64809,Nicole Evans,nicoleevans@example.org,66,F,China,2022-10-21,2022-10-22,24
64925,Alexandra Butler,alexandrabutler@example.com,28,F,China,2022-10-21,2022-10-22,24
90397,Michael Lewis,michaellewis@example.net,55,M,China,2022-10-21,2022-10-22,24
80042,Justin Higgins,justinhiggins@example.net,12,M,China,2022-10-21,2022-10-22,24
24859,Kevin Thompson,kevinthompson@example.net,36,M,China,2022-10-21,2022-10-22,24
29819,Kristin Graham,kristingraham@example.org,37,F,China,2022-10-21,2022-10-22,24
60619,Katrina Robinson,katrinarobinson@example.com,57,F,China,2022-10-21,2022-10-22,24
16538,Sean Ramos,seanramos@example.net,64,M,China,2022-10-21,2022-10-22,24
73195,Alejandro Gamble,alejandrogamble@example.com,44,M,China,2022-10-21,2022-10-22,24
28194,Christina Small,christinasmall@example.com,28,F,China,2022-10-21,2022-10-22,24
63848,Curtis Smith,curtissmith@example.org,70,M,China,2022-10-21,2022-10-22,24
21549,James Flynn,jamesflynn@example.com,42,M,China,2022-10-21,2022-10-22,24
98035,Nicole Gonzalez,nicolegonzalez@example.com,54,F,China,2022-10-21,2022-10-22,24
98709,Michelle Miller,michellemiller@example.com,41,F,China,2022-10-21,2022-10-22,24
22119,Matthew Dixon,matthewdixon@example.com,48,M,China,2022-10-21,2022-10-22,24
78756,Daniel Walter,danielwalter@example.org,37,M,China,2022-10-21,2022-10-22,24
39699,Denise Jones,denisejones@example.net,51,F,China,2022-10-21,2022-10-22,24
28523,Cody Jensen,codyjensen@example.net,27,M,China,2022-10-21,2022-10-22,24
90480,Valerie Adams,valerieadams@example.org,66,F,China,2022-10-21,2022-10-22,24
77527,Gary Moreno,garymoreno@example.org,43,M,China,2022-10-21,2022-10-22,24
83609,Samantha Brewer,samanthabrewer@example.org,47,F,Brasil,2022-10-21,2022-10-22,24
17969,William Sullivan,williamsullivan@example.com,14,M,South Korea,2022-10-21,2022-10-22,24
27336,Paul Berger,paulberger@example.com,46,M,South Korea,2022-10-21,2022-10-22,24
72771,Jeffery Kirby,jefferykirby@example.org,61,M,South Korea,2022-10-21,2022-10-22,24
48898,Gabriel Dickson,gabrieldickson@example.net,31,M,South Korea,2022-10-21,2022-10-22,24
2902,Keith Mccarthy,keithmccarthy@example.com,54,M,South Korea,2022-10-21,2022-10-22,24
17194,Christina Hayes,christinahayes@example.com,42,F,South Korea,2022-10-21,2022-10-22,24
87065,Kimberly Brewer,kimberlybrewer@example.net,24,F,South Korea,2022-10-21,2022-10-22,24
51979,Curtis Woods,curtiswoods@example.net,70,M,South Korea,2022-10-21,2022-10-22,24
53514,Jacob Klein,jacobklein@example.com,46,M,United States,2022-10-21,2022-10-22,24
29242,Nicole Ellis,nicoleellis@example.com,45,F,United States,2022-10-21,2022-10-22,24
6472,Kristine Rocha,kristinerocha@example.com,44,F,United States,2022-10-21,2022-10-22,24
81717,Lindsay Cortez,lindsaycortez@example.net,45,F,United States,2022-10-21,2022-10-22,24
87472,Charles Frazier,charlesfrazier@example.net,65,M,United States,2022-10-21,2022-10-22,24
63478,Terri Burke,terriburke@example.com,66,F,Japan,2022-10-21,2022-10-22,24
71460,Scott Harding,scottharding@example.org,56,M,Japan,2022-10-21,2022-10-22,24
18422,Paula Lopez,paulalopez@example.org,64,F,Japan,2022-10-21,2022-10-22,24
43791,Wesley Mejia,wesleymejia@example.com,69,M,Japan,2022-10-21,2022-10-22,24
10206,Ronald Gordon,ronaldgordon@example.net,40,M,Japan,2022-10-21,2022-10-22,24
84906,Deborah Taylor,deborahtaylor@example.org,42,F,United Kingdom,2022-10-21,2022-10-22,24
66195,Jason Boyle,jasonboyle@example.com,57,M,United Kingdom,2022-10-21,2022-10-22,24
64314,Monica Brown,monicabrown@example.com,56,F,United States,2022-10-21,2022-10-22,24
29522,Danielle Brown,daniellebrown@example.org,33,F,Brasil,2022-10-21,2022-10-22,24
15644,Antonio Leach,antonioleach@example.net,62,M,Germany,2022-10-21,2022-10-22,24
4626,Luke Hickman,lukehickman@example.net,24,M,Germany,2022-10-21,2022-10-22,24
87534,Robert Barrett,robertbarrett@example.com,60,M,Germany,2022-10-21,2022-10-22,24
52119,Edward Beck,edwardbeck@example.org,27,M,Germany,2022-10-21,2022-10-22,24
59474,George Livingston,georgelivingston@example.com,54,M,Germany,2022-10-21,2022-10-22,24
53542,Sophia Estes,sophiaestes@example.net,47,F,Brasil,2022-10-21,2022-10-22,24
43699,Darren Perez,darrenperez@example.org,46,M,Brasil,2022-10-21,2022-10-22,24
59138,Jacob Newton,jacobnewton@example.net,59,M,China,2022-10-21,2022-10-22,24
64393,Nicholas Smith,nicholassmith@example.com,35,M,China,2022-10-21,2022-10-22,24
42780,Joseph Rose,josephrose@example.net,66,M,China,2022-10-21,2022-10-22,24
78864,Kayla Garcia,kaylagarcia@example.org,22,F,China,2022-10-21,2022-10-22,24
87106,Mark Mckinney,markmckinney@example.net,42,M,China,2022-10-21,2022-10-22,24
41519,Matthew Moss,matthewmoss@example.org,28,M,China,2022-10-21,2022-10-22,24
76574,John Smith,johnsmith@example.org,16,M,China,2022-10-21,2022-10-22,24
97205,Chelsea Johnson,chelseajohnson@example.net,69,F,China,2022-10-21,2022-10-22,24
45051,Janet French,janetfrench@example.com,70,F,China,2022-10-21,2022-10-22,24
76323,Kristen Jordan,kristenjordan@example.com,14,F,Brasil,2022-10-21,2022-10-22,24
29377,William Williams,williamwilliams@example.org,33,M,China,2022-10-21,2022-10-22,24
12346,Brandy Goodman,brandygoodman@example.net,37,F,United States,2022-10-21,2022-10-22,24
79510,Bruce Evans,bruceevans@example.org,59,M,United States,2022-10-21,2022-10-22,24
32714,Connie Banks,conniebanks@example.com,19,F,Germany,2022-10-21,2022-10-22,24
77981,Kevin Allen,kevinallen@example.com,63,M,United States,2022-10-21,2022-10-22,24
37204,Mitchell Hebert,mitchellhebert@example.org,27,M,China,2022-10-21,2022-10-22,24
15752,Valerie Stark,valeriestark@example.com,35,F,China,2022-10-21,2022-10-22,24
89841,Logan Davis,logandavis@example.org,47,M,Brasil,2022-10-21,2022-10-22,24
18318,Ann Phillips,annphillips@example.org,70,F,United States,2022-10-21,2022-10-22,24
88914,Kenneth Thornton,kenneththornton@example.org,28,M,China,2022-10-21,2022-10-22,24
23882,Keith Hall,keithhall@example.org,38,M,China,2022-10-21,2022-10-22,24
1621,Megan Miller,meganmiller@example.com,25,F,China,2022-10-21,2022-10-22,24
46454,Andrea Thomas,andreathomas@example.com,35,F,China,2022-10-21,2022-10-22,24
83035,Anne Case,annecase@example.org,14,F,China,2022-10-21,2022-10-22,24
91983,Michelle Shelton,michelleshelton@example.com,20,F,China,2022-10-21,2022-10-22,24
22847,Alexis Wiley,alexiswiley@example.org,48,F,China,2022-10-21,2022-10-22,24
27995,Douglas Jones,douglasjones@example.org,69,M,China,2022-10-21,2022-10-22,24
2507,Gregory Howell,gregoryhowell@example.net,24,M,China,2022-10-21,2022-10-22,24
96295,Timothy Bryan,timothybryan@example.com,19,M,China,2022-10-21,2022-10-22,24
94175,Joseph Holland,josephholland@example.com,38,M,China,2022-10-21,2022-10-22,24
54072,Robert Wilkerson,robertwilkerson@example.net,49,M,South Korea,2022-10-21,2022-10-22,24
80940,Michael Benson,michaelbenson@example.net,43,M,United Kingdom,2022-10-21,2022-10-22,24
33962,Eric Johnson,ericjohnson@example.com,40,M,United Kingdom,2022-10-21,2022-10-22,24
95109,Virginia Shepherd,virginiashepherd@example.net,49,F,United Kingdom,2022-10-21,2022-10-22,24
35603,Katherine Dean,katherinedean@example.org,56,F,United Kingdom,2022-10-21,2022-10-22,24
88843,Herbert Lindsey,herbertlindsey@example.net,55,M,United Kingdom,2022-10-21,2022-10-22,24
91665,Melissa Neal,melissaneal@example.com,52,F,United Kingdom,2022-10-21,2022-10-22,24
71809,Jessica Joyce,jessicajoyce@example.org,43,F,United Kingdom,2022-10-21,2022-10-22,24
88805,Stacey Schroeder,staceyschroeder@example.org,39,F,United Kingdom,2022-10-21,2022-10-22,24
4414,Joseph Jackson,josephjackson@example.com,54,M,United Kingdom,2022-10-21,2022-10-22,24
